Région,Code région,Code département,code_commune,nom_commune,zone_montagne,est_zone_vulnerable,est_zar,zone_ouest,zone_sud,zone_est,Dernière mise à jour,Dernière mise à jour par
BOURGOGNE FRANCHE COMTE,27,25,25551,SOULCE CERNAY,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25552,SOURANS,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25553,SOYE,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25554,SURMONT,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25555,TAILLECOURT,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25556,TALLANS,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25557,TALLENAY,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25558,TARCENAY FOUCHERANS,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25559,THIEBOUHANS,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25560,THISE,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25561,THORAISE,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25562,THULAY,NC,C,NC,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25563,THUREY LE MONT,NC,C,NC,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25564,TORPES,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25565,TOUILLON ET LOUTELET,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25566,TOUR DE SCAY,NC,PC,NC,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25567,TOURNANS,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25569,TREPOT,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
